Ticker,Security,GICS.Sector,GICS.Sub.Industry,Market.Cap,,
A,Agilent Technologies,Health Care,Health Care Equipment,47997128160,,
AAL,American Airlines Group,Industrials,Airlines,13072172982,,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,13640078062,,
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",2.45E+12,,
ABBV,AbbVie,Health Care,Pharmaceuticals,2.06E+11,,
ABC,AmerisourceBergen,Health Care,Health Care Distributors,24942770000,,
ABMD,Abiomed,Health Care,Health Care Equipment,14542548505,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,2.17E+11,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,2.15E+11,,
ADBE,Adobe,Information Technology,Application Software,3.03E+11,,
ADI,Analog Devices,Information Technology,Semiconductors,62693196462,,
ADM,ADM,Consumer Staples,Agricultural Products,34817767792,,
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,91210296539,,
ADSK,Autodesk,Information Technology,Application Software,72800200837,,
AEE,Ameren Corp,Utilities,Multi-Utilities,22713812176,,
AEP,American Electric Power,Utilities,Electric Utilities,44812511454,,
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,16579029336,,
AFL,Aflac,Financials,Life & Health Insurance,38500550620,,
AIG,American International Group,Financials,Property & Casualty Insurance,46916409150,,
AIZ,Assurant,Financials,Multi-line Insurance,9741588979,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,29151750000,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,19013635746,,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,27772677502,,
ALGN,Align Technology,Health Care,Health Care Supplies,54254064056,,
ALK,Alaska Air Group,Industrials,Airlines,7288543140,,
ALL,Allstate Corp,Financials,Property & Casualty Insurance,39990910000,,
ALLE,Allegion,Industrials,Building Products,12368651983,,
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,40832590000,,
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1.18E+11,,
